id,slug,naziv,naziv_prikaz,kratki_naziv,registar,id_u_registru,registarski_broj,oib,status,datum_statusa,datum_upisa,datum_osnivanja,pravni_oblik,kategorija,pouzdanost,bodovi,signali,sjediste,ulica,kucni_broj,mjesto,naselje,opcina_grad,zupanija,postanski_broj,strano_sjediste,lat,lng,izvor_koordinata,biskupija,izvor_biskupije,email,web,telefon,telefon_e164,iban,predsjednik,uloga_predsjednika,ciljevi,ciljane_skupine,djelatnosti,rno_url,izvori
273,lazarus-hrvatska-humanitarna-udruga-varazdin-2746,"""LAZARUS"" HRVATSKA HUMANITARNA UDRUGA","""Lazarus"" Hrvatska Humanitarna Udruga",LAZARUS,registar-udruga,15582,00001128,56811602746,BRISAN,2019-01-29,1998-10-01,1993-05-02,UDRUGA,karitativna,niska,3.5,"[""opis:caritas"", ""djelatnost:3.1.1.""]","Kapucinski trg 7, Varaždin",Kapucinski trg,7,Varaždin,Varaždin,Varaždin,Varaždinska,42000,,46.30492537,16.33400816,dgu-adresa,Varaždinska Biskupija,derivirano-crkve.domovina.ai,,,,,,Anica Kunštek,Zamjenik Predsjednika,,,"[""3.1.1. HUMANITARNA (uz suglasnost Ministarstva rada i soc. skrbi)""]",,"[""datagovhr:registar-udruga""]"
415,pinklec-kulturno-sportsko-udruzenje-mjestana-brestovec-orehovicki-1600,"""PINKLEC""  kulturno-športsko udruženje mještana","""PINKLEC"" kulturno-športsko udruženje mještana","""PINKLEC""",registar-udruga,32764,02000664,58295271600,BRISAN,2014-07-25,2003-04-24,2003-03-30,UDRUGA,sport,niska,3.5,"[""opis:katolic"", ""opis:duhovnost""]","Brestovec Orehovički, prostorije Mjesne čitaonice bb, Brestovec Orehovički","Brestovec Orehovički, prostorije Mjesne čitaonice",,Brestovec Orehovički,Brestovec Orehovički,Bedekovčina,Krapinsko-zagorska,,,46.078338320895,15.98679912884138,naselje-teziste,Zagrebačka Nadbiskupija,derivirano-crkve.domovina.ai,,,,,,Mladen Valjak,Podpredsjednik,,,"[""8.99.99. OSTALE KULTURNE DJELATNOSTI""]",https://banovac.mfin.hr/rnoprt/Details?handler=Details&id=18880,"[""datagovhr:registar-udruga""]"
70,ruka-prijateljstva-udruga-za-socijalnopsiholosku-i-duhovnu-pomoc-i-podrsku-djeci-i-mladima-zagreb-9585,"""RUKA PRIJATELJSTVA"" UDRUGA ZA SOCIJALNOPSIHOLOŠKU I DUHOVNU POMOĆ I PODRŠKU DJECI I MLADIMA","""Ruka Prijateljstva"" Udruga za Socijalnopsihološku i Duhovnu Pomoć i Podršku Djeci i Mladima","""RUKA PRIJATELJSTVA""",registar-udruga,4542,21002185,98321109585,AKTIVAN,,2001-11-13,2001-09-21,UDRUGA,karitativna,niska,3.5,"[""naziv:duhovnost"", ""opis:liturgija"", ""opis:duhovnost"", ""djelatnost:3.2.3.""]","Vidovečka 8, Zagreb",Vidovečka,8,Zagreb,Zagreb,Grad Zagreb,Grad Zagreb,10110,,45.80394247,15.948821,dgu-adresa,Zagrebačka Nadbiskupija,derivirano-crkve.domovina.ai,,,0915106638,+385915106638,,Angelina Sesar,Predsjednica,Udruga je osnovana s ciljem pružanja socijalnopsihološke i duhovne pomoći i podrške djeci i mladima te njihovim obiteljima koji žive u teškim životnim okolnostima.,"DJECA DO 14 GODINA, DJECA IZ OBITELJI KORISNIKA SUSTAVA SOCIJALNE SKRBI, MLADI - OPĆA POPULACIJA, OBITELJI","[""3.2.3. Ostale duhovne djelatnosti"", ""11.3.4. Pomoć u podmirivanju osnovnih životnih potreba"", ""11.2.3. Psihosocijalna podrška"", ""11.1.5. Pomoć i podrška osobama u riziku od siromaštva i socijalne isključenosti"", ""11.5. Ostale socijalne djelatnosti""]",https://banovac.mfin.hr/rnoprt/Details?handler=Details&id=16494,"[""datagovhr:registar-udruga""]"
127,udruga-zena-opcine-sv-ilija-selo-doljan-0600,"""Udruga žena Općine Sv. Ilija-selo Doljan""","""Udruga žena Općine Sv. Ilija-selo Doljan""","""Udruga žena""",registar-udruga,17132,05000547,27931300600,AKTIVAN,,1998-03-16,1997-02-15,UDRUGA,molitvena,niska,3.5,"[""naziv:svetac"", ""opis:crkva"", ""opis:svetac"", ""djelatnost:3.2.2."", ""djelatnost:3.2.3.""]","ŽELJEZNIČKI NASIP 1, Doljan",ŽELJEZNIČKI NASIP,1,Doljan,Doljan,Sveti Ilija,Varaždinska,42214,,46.24333648,16.33789872,dgu-adresa,Varaždinska Biskupija,derivirano-crkve.domovina.ai,biserka.sokol@gmail.com,,099 3172 943,+385993172943,,Biserka Sokol,Predsjednica,"promicanje, razvitak i unapređenje okupljanja žena Općine Sv. Ilija",ŽENE,"[""15.1.2. Očuvanje prirodne baštine"", ""7.5.1. Ravnopravnost spolova"", ""11.3.1. Pomoć žrtvama prirodnih katastrofa"", ""6.3.1. Likovne umjetnosti"", ""10.1.1. Edukacija za održivi razvoj ruralnih područja"", ""7.5.9. Prava osoba starije životne dobi"", ""3.2.2. Poticanje osobnog razvoja"", ""11.1.7. Pomoć i podrška obitelji"", ""7.5.5. Zaštita prava djece"", ""11.1.1. Pomoć i podrška starijim osobama"", ""7.5.4. Zaštita obitelji"", ""3.2.3. Ostale duhovne djelatnosti""]",https://banovac.mfin.hr/rnoprt/Details?handler=Details&id=8120,"[""datagovhr:registar-udruga""]"
520,vise-od-zivota-zagreb-8615,"""VIŠE OD ŽIVOTA""","""Više od Života""",VOŽ,registar-udruga,49195,21007150,39162428615,AKTIVAN,,2009-10-23,2009-08-10,UDRUGA,obrazovanje,niska,3.5,"[""opis:krscanski"", ""djelatnost:3.3."", ""djelatnost:3.1.3.""]","Ulica Antuna Bauera 2, Zagreb",Ulica Antuna Bauera,2,Zagreb,Zagreb,Grad Zagreb,Grad Zagreb,10000,,45.81355943,15.98927972,dgu-adresa,Zagrebačka Nadbiskupija,derivirano-crkve.domovina.ai,udruga.voz@gmail.com,https://www.viseodzivota.info,01 2361 900,+38512361900,,Neven Klačmer,Dopredsjednik,"promicanja, očuvanja i njege cjelovitog zdravlja; promicanja i unapređenja društvenih odnosa; promicanja kršćanskih vrijednosti utemeljenih na Bibliji;
unapređenja kvalitete življenja opće populacije.;",GRAĐANI – OPĆA POPULACIJA,"[""3.3. Ostale djelatnosti iz područja duhovnosti"", ""3.1.3. Ostale religijske/vjerničke djelatnosti""]",https://banovac.mfin.hr/rnoprt/Details?handler=Details&id=48517,"[""datagovhr:registar-udruga""]"
394,vjera-i-svjetlo-virovitica-3980,"""VJERA I SVJETLO""","""Vjera i Svjetlo""","""VIS""",registar-udruga,59393,21009971,94897923980,AKTIVAN,,2013-02-15,2012-11-16,UDRUGA,hodocasnicka,niska,3.5,"[""naziv:duhovnost"", ""opis:hodocasce"", ""opis:duhovnost"", ""djelatnost:3.3.""]","Ulica Antuna Mihanovića 24, Virovitica",Ulica Antuna Mihanovića,24,Virovitica,Virovitica,Virovitica,Virovitičko-podravska,33000,,45.83318006,17.38894619,dgu-adresa,Požeška Biskupija,derivirano-crkve.domovina.ai,dija.stanic40@gmail.com,,098-9028-253,+385989028253,,Dijana Stanić,Predsjednica Udruge,Udruga je osnovana s ciljem da se pomogne osobama s intelektualnim teškoćama i njihovim obiteljima pronaći svoje mjesto u društvenoj zajednici.,"OBITELJI, OSOBE S INTELEKTUALNIM TEŠKOĆAMA, OSOBE S MENTALNOM RETARDACIJOM","[""3.3. Ostale djelatnosti iz područja duhovnosti"", ""7.5.8. Zaštita prava osoba s mentalnim oštećenjem"", ""11.5. Ostale socijalne djelatnosti"", ""7.11. Ostale djelatnosti iz područja ostvarivanja i zaštite ljudskih prava""]",https://banovac.mfin.hr/rnoprt/Details?handler=Details&id=42377,"[""datagovhr:registar-udruga""]"
205,biblijsko-drustvo-u-republici-hrvatskoj-osijek-7938,BIBLIJSKO DRUŠTVO U REPUBLICI HRVATSKOJ,Biblijsko Društvo u Republici Hrvatskoj,BDH OSIJEK,registar-udruga,15172,00001539,98932607938,BRISAN,2023-10-06,1999-09-21,1994-10-03,UDRUGA,mediji,niska,3.5,"[""naziv:krscanski"", ""opis:krscanski"", ""djelatnost:14.duhovna""]","Cvjetkova 36, Osijek",Cvjetkova,36,Osijek,Osijek,Osijek,Osječko-baranjska,,,45.543345773347,18.687547011930928,naselje-teziste,Đakovačko-osječka Nadbiskupija,derivirano-crkve.domovina.ai,,,,,,Damir Špoljarić,Predsjednik Skupštine,,,"[""14.1.1. DUHOVNA VJERNIČKA DJELATNOST""]",,"[""datagovhr:registar-udruga""]"
